HurricanID,Season,Damage,Deaths,Month,Nature,Maxspeed,Meanspeed,Maxpressure,Meanpressure,Hours,Total.Pop,Percent.Poor,Percent.USA
betsy.1965,1965,$1.42 ,81,September,TS,135,75.58,1010,574.35,414,548259,0,54.91
camille.1969,1969,$1.42 ,256,August,TS,150,74.05,991,177.24,222,444145,0,87.65
agnes.1972,1972,$2.10 ,124,June,TS,75,44.71,1001,422.8,210,154114,0,100
fifi.1974,1974,$1.80 ,8000,September,TS,95,52.74,1005,127.29,186,60057,100,0
david.1979,1979,$1.54 ,"2,068",September,TS,150,82.82,1008,969.45,330,1744509,0.45,81.11
frederic.1979,1979,$2.30 ,12,September,TS,115,51.91,1009,993.69,408,468748,0,90.81
allen.1980,1980,$1.24 ,269,August,NR,165,97.07,1010,916.07,276,1387390,0.82,29.66
alicia.1983,1983,$2.00 ,21,August,TS,100,49.2,1011,995.48,150,2267825,0,100
elena.1985,1985,$1.25 ,9,September,TS,110,65.45,1012,987,198,472444,0,100
juan.1985,1985,$1.50 ,74,October,TS,75,53.28,1005,983.72,174,741395,0,100
gilbert.1988,1988,$5.00 ,318,September,TS,160,77.35,1008,968.98,294,399396,0.82,0
hugo.1989,1989,$8.50 ,56,September,TS,140,79.77,1010,968.42,384,268186,0.21,60.93
bob.1991,1991,$1.50 ,17,August,TS,100,40.36,1015,998.47,330,671299,0,100
andrew.1992,1992,$26.50 ,65,August,TS,150,73.94,1015,978.75,312,819815,0,71.14
luis.1995,1995,$2.50 ,19,September,TS,120,86.52,1010,962.89,396,23402,0,0
marilyn.1995,1995,$1.50 ,8,September,TS,100,51.14,1016,991.84,474,51752,1.11,0
opal.1995,1995,$5.41 ,27,October,TS,130,54.62,1004,980.56,234,107304,0,100
roxanne.1995,1995,$1.50 ,14,October,TS,100,54.64,1011,991.93,336,698755,0,0
fran.1996,1996,$4.16 ,26,September,TS,105,53.47,1012,989.31,432,311113,0,100
georges.1998,1998,$9.72 ,604,September,TS,135,75.35,1009,979.56,426,682165,0.07,34.53
mitch.1998,1998,$6.20 ,"19,325",October,TS,155,63.14,1005,978.82,468,13776,100,0
floyd.1999,1999,$6.90 ,56,September,TS,135,74.5,1008,968.6,300,343895,0,93.2
michelle.2001,2001,$2.15 ,48,November,TS,120,69.86,1006,977.11,210,123068,0,0
isidore.2002,2002,$1.30 ,17,September,TS,110,53.82,1009,983.56,330,241800,0,0
isabel.2003,2003,$5.37 ,50,September,TS,145,99.83,1009,955.53,348,192410,0,100
charley.2004,2004,$15.10 ,40,August,TS,130,68.17,1018,988.67,180,2810656,0.45,19.85
frances.2004,2004,$9.85 ,49,September,TS,125,77.47,1009,969.83,450,424979,0,89.21
ivan.2004,2004,$23.30 ,124,September,TS,145,81.22,1010,965.88,564,818272,0.18,4.49
jeanne.2004,2004,$7.66 ,"3,035",September,TS,105,59.42,1010,984.06,414,413825,0,83.31
dennis.2005,2005,$4.00 ,89,July,TS,130,47.46,1014,989.2,354,2640619,95.4,4.06
katrina.2005,2005,$125.00 ,"1,833",August,TS,150,74.12,1008,965.68,204,1901114,0,100
rita.2005,2005,$12.00 ,62,September,TS,155,78.47,1009,962.61,216,2458853,0,9.13
stan.2005,2005,$3.96 ,"1,668",October,TS,70,39.71,1007,998.71,102,60118,0,0
wilma.2005,2005,$29.30 ,23,October,TS,160,88.54,1004,956.67,288,1266712,0,88.91
dean.2007,2007,$1.78 ,45,August,TS,150,87.38,1006,962.81,252,429165,6.61,0
dolly.2008,2008,$1.05 ,17,July,TS,85,46.29,1016,995.39,186,1052724,0,57.48
gustav.2008,2008,$6.61 ,112,August,TS,135,57.4,1008,983.28,300,329388,17.27,76.31
ike.2008,2008,$37.50 ,195,September,TS,125,80,1006,965.19,372,577415,0,36.57
alex.2010,2010,$1.89 ,52,June,DS,95,51.72,1007,985.62,192,49323,0,0
karl.2010,2010,$5.60 ,22,September,DS,110,57.95,1005,989.32,132,1769132,0,0
irene.2011,2011,$16.60 ,56,August,TS,105,70.47,1006,969.98,258,798665,0,91.19
isaac.2012,2012,$2.30 ,41,August,DS,70,47.06,1010,992.59,306,876447,0,100
sandy.2012,2012,$71.40 ,286,October,DS,100,61.56,1006,971.87,270,221333,8.54,54.93